"ItemId","ProductNumber","Name","Description","Price","BasePrice","MinVariantPrice","MaxVariantPrice","TotalRatings","IsMasterProduct","MasterProductId","DefaultUnitOfMeasure","PrimaryImageUrl","RecordId","Colors"
"65603","65603","Niborio Tent","1 super-sized double door and rear D shaped door with 2 Vestibules Lamp shade pocket securely holds your headlamp to provide ambient light Strategic clip placement provides larger interior volume Seam taped full coverage fly with vents; Seam taped catenary cut floor Interior pockets for small gear organization; Footprint included Color coded """"easy pitch"""" clips and poles; Jingle-free nylon zipper pulls","600","600","600","600","0","True","68719510907","ea","Products/65603_000_001.png","68719510907","Orange Roughy-Mama|Yellow Sea-Mamba"
"65602","65602","Altopeak Tent","The Altopeak Tent blocks 90% of sunlight so you can put the kids to bed early or sleep in past sunrise. It also reduces heat inside the tent for more comfortable rest at any time. Downpour in the forecast? Enjoy superior weather protection thanks to an included rainfly, welded corners, and inverted seams to keep water from getting in.","510","510","510","510","0","True","68719510902","ea","Products/65602_000_001.png","68719510902","Cerulean|Yellow Sea|Flamingo|Inch Worm"
"65601","65601","Stratic Compact Tent","Wide floor plan and steep sidewalls create a roomy interior that accommodates two 25-inch wide mattresses; built-in gear lofts store small items. Easy-pitch, hubbed pole design with lightweight, strong aluminum poles; long-lasting waterproof coating on tent body and rainfly.","385","385","385","385","0","True","68719510900","ea","Products/65601_000_001.png","68719510900","Trinidad-Cerulean"
"65600","65600","Cirroa Tent","Sets up in 1 minute in 3 easy steps. WeatherTec system with patented corner welds and inverted seams keeps water out. Rugged Polyguard 2x double-thick fabric for reliable, long-lasting use.","490","490","490","490","0","True","68719510890","ea","Products/65600_000_001.png","68719510890","Amber|Orange Roughy"
"72100","72100","Kiama Classic Surfboard","This classic soft-top can just about do it all. Kiama surfboard has been seen in everything from double overheads after serious swells to lofty beach breaks in the dead of summer. This board can be ridden as a single fin, single with sides, or a quad. It's great for all surfers no matter their ability and can be surfed in a very wide range of conditions. Whether you are a young surfer or a classic longboard rider, you’ll love this thing. It is constructed with a durable EPS foam core, a triple-stringer system for extra durability, and a barrier skin crosslink deck. The HDPE slick bottom material provides an even stronger ride than one could think possible. Overall, it’s a solid choice for beginners and for anyone looking to find a reliable, shred stick at a great price.","790","790","790","790","0","True","68719510252","ea","Products/72100_000_001.png","68719510252","8\"
"65508","65508","Pipone Sleeping Bag","This adult sleeping bag has an elongated design that can accommodate most people up to 6 feet 6 inches tall. It is ideal for camping in climates where temperatures dip as low as 15°F. On warmer nights, keep the adjustable hood loose and open the 2-way zipper to ventilate the bag. When the weather cools off, zip the bag completely to keep yourself warm and comfortable.","250","250","250","250","0","True","68719510244","ea","Products/65508_000_001.png","68719510244","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"72109","72109","Teapo Rainbow Surfboard","Teapo is the perfect board for someone wanting to surf well in a wide range of conditions. It features a 5 fin setup, low rocker combined with a single concave entry which blends into a concave vee between the feet.","690","690","690","690","0","True","68719510233","ea","Products/72109_000_001.png","68719510233","6\"
"65507","65507","Tondavo Sleeping Bag","Mummy-style adult sleeping bag for camping in temperatures as low as 0 degrees Fahrenheit. Can accommodate most people up to 6 feet 2 inches in height. Semi-sculpted hood tightens with a drawstring to seal in heat; Unzip the bottom for extra ventilation on warmer nights. Quilting construction, insulated footbox, and thermolock draft tube for warmth and heat retention.","360","360","360","360","0","True","68719510232","ea","Products/65507_000_001.png","68719510232","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"65506","65506","Buneli Sleeping Bag","Sleep comfortably—even when the temperature drops well below freezing—with the Buneli Sleeping Bag. A spacious design accommodates most campers up to 6 feet 7 inches in height. This durable sleeping bag is machine washable for no-hassle cleaning at home and backed by a 5-year limited warranty.","225","225","225","225","0","True","68719510223","ea","Products/65506_000_001.png","68719510223","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"65505","65505","Nanaki Sleeping Bag","Don’t let your camping trip get rained out! You’ll stay toasty and dry inside your waterproof Nanaki sleeping bag! It’s also great for long-term use since the polyester lining is rip-resistant! And the synthetic filling is made to keep you warm through years of adventures.","400","400","400","400","0","True","68719510212","ea","Products/65505_000_001.png","68719510212","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"72107","72107","Bundor Surfboard","Bundor is full of performance and volume for the core surfer that is looking to take their surfing to the next level. Improved with a slight vee running through the tail to create turns with less effort and release more drive during rail to rail surfing.","670","670","670","670","0","True","68719510209","ea","Products/72107_000_001.png","68719510209","6\"
"72106","72106","Montau Turtle Surfboard","Montay Turtle can handle a wide range of conditions from sloppy small surf to clean pumping waves. It features the same bottom design as the V-12 except the tail and nose are both pulled in with more nose rocker to allow it to perform in heavier conditions. Montau Turtle is suitable for surfers of all skill levels in waves ranging from ankle high to a few feet overhead. Get it 2-4 inches shorter than your standard shortboard.","600","600","600","600","0","True","68719510202","ea","Products/72106_000_001.png","68719510202","5\"
"65504","65504","Duduq Sleeping Bag","The Duduq sleeping bag is a transforming bag designed to give ultimate flexibility on the trail. As a quilt in warmer weather and a 20°F draft-resistant bag in colder weather, its adaptability makes it a smart choice for exploits with varying conditions. At less than two pounds, Duduq is a remarkably warm and novel solution to ultralight versatility and comfort.","310","310","310","310","0","True","68719510201","ea","Products/65504_000_001.png","68719510201","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"65503","65503","Maresse Sleeping Bag","Rain or shine, you'll be warm and rested in this sleeping bag. The zipper and shoulder draft tubes, thermal enhancing, double-layer offset stitching, and down fill work together so the warmth stays in. You'll forget you're camping in this cozy sleeping bag with soft poly-flannel lining. There's plenty of room to spread out. The half-circle mummy style hood keeps you warm and your pillow clean. Unzips on each side for airflow and easy access.","280","280","280","280","0","True","68719510190","ea","Products/65503_000_001.png","68719510190","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"72104","72104","Yamba Surfboard","Yamba features a wider outline and more thickness throughout making it super fun for surfing in small waves. It also has a wide but shallow swallow tail and 2 speed channels in between the fins for added control and liveliness in summer size waves. The design takes the classic speed and drive of a traditional twin and tweaks it with high performance attributes to make it insanely shreddable. With volume in all the right places, this board will help you get in early and fly down the line into big stylish manoeuvres.","850","850","850","850","0","True","68719510178","ea","Products/72104_000_001.png","68719510178","6\"
"65502","65502","Bacalen Sleeping Bag","The Bacalen mummy-style sleeping bag retains the exceptional warmth, softness, and compressibility of a natural down bag, with the added moisture resistance that comes with synthetic insulation. The Bacalen's combination wave construction offers warmth and maximum loft on top, and a plush, blanket-like feel on the bottom—keeping your body in comfort all night long.","90","90","90","90","0","True","68719510177","ea","Products/65502_000_001.png","68719510177","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"72101","72101","Kalbar Surfboard","A nimble, mid-length trim machine with a low, fast rocker. Flows and trims like a dream, while still allowing a loose, carvy feel in the pocket. A longboard alternative when the waves are small and weak and you don’t feel like lugging your log around. Catches anything. But with its sleek outline, performs well when the waves have some juice. Mix it up with a twin or quad to single.","850","850","850","850","0","True","68719510160","ea","Products/72101_000_001.png","68719510160","8\"
"65500","65500","Vareno Sleeping Bag","When you’ve been hiking all day, surrounded by nature, complete the perfect day with the best night's sleep. The Vareno Mummy Bag was designed with you in mind with extra fill in the footbox to keep you comfortable and warm no matter what the weather. Get up the next morning ready for the rest of the journey.","120","120","120","120","0","True","68719510151","ea","Products/65500_000_001.png","68719510151","<?xml version=""1.0"" encoding=""utf-8""?><RichMediaLocations><RichMediaLocation><Url>Categories/{CategoryName}.jpg</Url><AltText></AltText><IsDefault>0</IsDefault><ImageId>0</ImageId></RichMediaLocation></RichMediaLocations>"
"62104","62104","Durmosty Women's Coat","Durmosty coat is ideal for casual, everyday urban winter wear. Lightweight, high ciré, down-proof fabric adds additional style and comfort. Zippered hand pockets, zippered sleeve pocket, zippered interior pocket, and interior mobile office pocket provide warmth, security, and storage.","87","87","87","87","0","True","68719520643","ea","Products/62104_000_001.png","68719520643","Nylon"
"62103","62103","Nishwery Women's coat","A straight cut warm, functional and flattering winter Nishwery. Built to withstand polar winters, but equally at home in cold urban environments. Rich detailing and highly visible quality will make this a classic.","79","79","79","79","0","True","68719519895","ea","Products/62103_000_001.png","68719519895","Polyester"
"62101","62101","Wanghor Women's Coat","Exclusively made from nylon shell that offers durability for the most demanding situations. It provides an efficient, breathable, and lightweight feel for optimum comfort. Comes with a breathable polyester inner softshell that offers lasting warmth that won't heat you during high activity. It is built for operational or recreational outdoor activities.","150","150","150","150","0","True","68719519894","ea","Products/62101_000_001.png","68719519894","Nylon"
"62100","62100","Tegothar Women's Coat","This coat is packable lightweight winter coat, insulated with exclusive, high-fill power duck down to increase the softness and compressibility for superior warmth and performance.  Ergonomic 3-structured cutting and ultra lightweight insulated down provide enough comfort for outdoor life.","75","75","75","75","0","True","68719519893","ea","Products/62100_000_001.png","68719519893","Nylon"
"61603","61603","Palty Men's Vest","Delivering reliable core warmth in a lightweight package, the Palty vest is built with recycled polyester and great synthetic insulation.","170","170","170","170","0","True","68719519371","ea","Products/61603_000_001.png","68719519371","Nylon"
"61602","61602","Manmov Men's Vest","Layer up with this men's slim-fit the Manmov vest. It has a water-repellent finish and is lined with 100% recycled insulation for toasty, packable warmth.","125","125","125","125","0","True","68719519370","ea","Products/61602_000_001.png","68719519370","Nylon"
"61601","61601","Montenco Men's Vest","A long-time puffy favorite for climbers, backpackers, mountaineers and everyone else who spends extended time outside, the Monteco vest offers cozy core warmth.","100","100","100","100","0","True","68719519369","ea","Products/61601_000_001.png","68719519369","Nylon"
"61600","61600","Bravova Men's Vest","Combining classic twill vest looks with modern tech, the Bravova vest uses  waterproof and breathable fabric and water-resistant fill-power down to keep your core dry and cozy.","80","80","80","80","0","True","68719519368","ea","Products/61600_000_001.png","68719519368","Nylon"
"61515","61515","Bacevcy Men's Shoes","Striking that just-right balance between winter protection and agile performance, Bacevcy Waterproof boots for men let you continue on your adventures even when the weather turns.","185","185","185","185","0","True","68719519194","ea","Products/61515_000_001.png","68719519194","Synthetic"
"61514","61514","Saycaz Men's Shoes","Tackle the colder months and stave off harsh elements with the men's Saycaz boots. They provide a great fit, insulated warmth, waterproof and seriously grippy soles.","260","260","260","260","0","True","68719519193","ea","Products/61514_000_001.png","68719519193","Suede Leather and Mesh"
"61513","61513","Jabuca Men's Shoes","Stay nimble even when the temperature drops. The Jabuca Men's insulated boots are lightweight and well insulated to keep you going strong in the bitter cold.","210","210","210","210","0","True","68719519192","ea","Products/61513_000_001.png","68719519192","Suede Leather and Mesh"
